"idBranch","name","monthlyCost","address","idCity","idManager","lastUpdate"
453,Fortaleza Farm,9243448.00,"107",275,,"2020-06-25 05:33:05"
454,Ganzhou Farm,9305936.00,"23",754,,"2020-06-28 04:52:11"
455,Quezon City Dairy,7923648.00,"134",2652,,"2020-06-28 13:22:23"
456,Louisville Dairy,8929647.00,"35",3628,,"2020-06-29 20:59:35"
457,Ahmadabad Milk Co,4665325.00,"10",1544,,"2020-06-30 16:31:11"
458,Tianjin Milk Co,6359605.00,"106",690,,"2020-07-01 15:09:41"
459,Makassar Milk Co,2392486.00,"15",1750,,"2020-07-04 14:54:20"
460,Central Perk Dairy,9479488.00,"168",704,,"2020-07-06 07:39:41"
461,Birmingham Farm,8775376.00,"99",3534,,"2020-07-08 19:10:08"
462,Vancouver Milk Co,8147804.00,"52",602,,"2020-07-09 21:39:17"
463,Barranquilla Milk Co,8940623.00,"142",1043,,"2020-07-12 17:53:14"
464,Almaty Co,7764132.00,"102",2060,,"2020-07-13 08:20:41"
465,Mannheim Co,6555464.00,"153",1396,,"2020-07-13 11:48:50"
466,Cilacap Farm,9457379.00,"138",1751,,"2020-07-16 04:40:29"
467,Kaduna Farm,8594450.00,"61",2485,,"2020-07-18 12:57:44"
468,Novosibirsk Milk Co,4771195.00,"71",2769,,"2020-07-19 04:33:47"
469,Chez Quis Dairy,7485366.00,"17",535,,"2020-07-21 07:49:56"
470,Aleppo Milk Co,1821455.00,"59",3241,,"2020-07-23 15:20:53"
471,Naples Dairy,9635325.00,"87",1928,,"2020-07-24 13:22:14"
472,Sheffield Farm,7230551.00,"51",3537,,"2020-07-27 01:33:56"
473,Neque In Farm,8112624.00,"67",81,,"2020-07-27 14:33:29"
474,Nanchang Milk Co,8924751.00,"45",718,,"2020-07-28 14:36:38"
475,Lille Milk Co,1779738.00,"169",1333,,"2020-07-31 06:57:56"
476,Valencia Dairy,6018874.00,"151",4543,,"2020-08-01 14:42:41"
477,Lacus Quisque Purus Farm,5447809.00,"193",2448,,"2020-08-04 10:34:26"
478,Nunc Ullamcorper Farm,6977544.00,"24",728,,"2020-08-04 22:13:53"
479,Kuwait City Co,9892189.00,"105",2153,,"2020-08-06 23:54:26"
480,Leeds Milk Co,9307817.00,"128",3536,,"2020-08-08 12:43:08"
481,Yerevan Farm,6602354.00,"73",144,,"2020-08-11 02:36:11"
482,Lucknow Farm,6843175.00,"68",1550,,"2020-08-11 19:20:02"
483,Detroit Co,9715736.00,"46",3592,,"2020-08-12 14:12:59"
484,Lille Milk Co,9471210.00,"56",1333,,"2020-08-15 00:37:38"
485,Edmonton Milk Co,8403532.00,"145",605,,"2020-08-15 16:10:50"
486,Aurangabad Farm,6926609.00,"99",1578,,"2020-08-16 17:25:53"
487,Nunc Sed Orci Farm,9791481.00,"142",1096,,"2020-08-17 09:43:02"
488,Santiago Milk Co,9459916.00,"40",654,,"2020-08-18 09:46:11"
489,Heze Farm,7085251.00,"187",765,,"2020-08-20 15:30:08"
490,San Antonio Farm,5023849.00,"147",3604,,"2020-08-21 15:48:17"
491,Acme Corp Farm,3929106.00,"104",697,,"2020-08-22 03:42:23"
492,Osato Chemicals Farm,6642437.00,"178",1538,,"2020-08-24 02:02:23"
493,Paris Farm,6195009.00,"138",1330,,"2020-08-26 06:55:56"
494,Montreal Dairy,7833236.00,"156",601,,"2020-08-27 11:57:56"
495,Sanaa Co,4852393.00,"116",4634,,"2020-08-28 12:18:29"
496,Damascus Milk Co,5212215.00,"43",3242,,"2020-08-29 23:27:23"
497,Chicago Co,9388049.00,"107",3581,,"2020-08-30 17:48:53"
498,Qinhuangdao Co,8661242.00,"4",792,,"2020-08-31 03:59:41"
499,Incheon Dairy,3439262.00,"53",2128,,"2020-08-31 19:57:50"
500,Salvador Co,7988292.00,"129",276,,"2020-09-01 16:44:59"
501,Sapporo Milk Co,6133766.00,"77",1989,,"2020-09-03 13:20:02"
502,Sheffield Milk Co,8088178.00,"79",3537,,"2020-09-05 06:28:29"
